A00001,A Figure Bowing before a Seated Old Man with his Arm Outstretched in Benediction. Verso: Indecipherable Sketch,"Watercolour, ink, chalk and graphite on paper. Verso: graphite on paper",,,"arm/arms raised, kneeling, sitting, man, man, old, blessing",date not known
A01598,title not known,"Ink, graphite and gouache on paper",,,"drawing, legs crossed, sitting, man",date not known
,,,,,,
A01599,title not known,Watercolour and graphite on paper,,,"hand/hands on hip, standing, woman, headdress",date not known
,,,,,,
A01600,title not known,Watercolour and graphite on paper,,,"bundle, hat, cap, pipe, man, standing, smoking",date not known
,,,,,,
A01601,title not known,Watercolour and graphite on paper,,,"arch, building - non-specific, figure, horse",date not known
,,,,,,
A01602,title not known,Ink on paper,,,"baby, sitting, standing, woman, breast feeding",date not known
,,,,,,
A01603,title not known,"Watercolour, graphite and ink on paper",,,"carrying, child, standing, woman, cloak",date not known
,,,,,,
A01604,title not known,Watercolour and graphite on paper,,,"dog - non-specific, sitting, woman",date not known
,,,,,,
A01605,title not known,Watercolour and graphite on paper,,,"apron, hat, bonnet, standing, woman",date not known
,,,,,,
A01606,title not known,Watercolour and graphite on paper,,,"boat, barge, boat, rowing, figure",date not known
,,,,,,
A01607,title not known,Ink and watercolour on paper,,,"back, walking, woman, horse, pack animal, riding, soldier",date not known
,,,,,,
A01608,title not known,Ink on paper,,,"dressing / undressing, girl, sitting, standing, woman, ribbon",date not known
,,,,,,
A01609,title not known,Watercolour and graphite on paper,,,"cane, robe, man, standing",date not known
,,,,,,
A01610,title not known,Watercolour and graphite on paper,,,"hat, bonnet, standing, woman",date not known
,,,,,,
A01611,title not known,Watercolour on paper,,,"boat, punt, boat, sailing, man, woman",date not known
,,,,,,
A01612,title not known,Watercolour and graphite on paper,,,"basket, carrying, man, standing",date not known
,,,,,,
A01613,title not known,Watercolour and graphite on paper,,,"basket, hat, umbrella, walking, woman",date not known
,,,,,,
A01614,title not known,Watercolour and graphite on paper,,,"basket, carrying, standing, woman",date not known
,,,,,,
A01615,title not known,Ink on paper,,,"carrying, woman, yoke",date not known
,,,,,,
A01616,title not known,Ink and watercolour on paper,,,"bottle, glass, table, caravan, figure",date not known
,,,,,,
A01617,title not known,Ink on paper,,,"child, sitting, standing, woman",date not known
,,,,,,
A01618,title not known,Ink on paper,,,"basket, carrying, group, standing, woman",date not known
,,,,,,
A01619,title not known,Ink on paper,,,"mule, riding, standing, woman",date not known
,,,,,,
A01620,title not known,"Ink, watercolour and graphite on paper",,,"cloak, sitting, woman",date not known
,,,,,,
A01621,title not known,Ink on paper,,,"basket, umbrella, carrying, standing, woman",date not known
,,,,,,
A01622,title not known,Ink on paper,,,"bending forward, sitting, boy, girl, embracing",date not known
,,,,,,
A01623,title not known,Ink on paper,,,"girl, legs crossed, sitting, man",date not known
,,,,,,
A01624,title not known,Ink and graphite on paper,,,"basket, sitting, woman",date not known
,,,,,,
A01625,title not known,Ink on paper,,,"back, walking, woman, basket, umbrella",date not known
,,,,,,
A01626,title not known,Ink and watercolour on paper,,,"basket, bending forward, standing, boy",date not known
,,,,,,
A01627,title not known,Ink and graphite on paper,,,"girl, man, woman, sitting",date not known
,,,,,,
A01628,title not known,Ink on paper,,,"cart, horse, man",date not known
,,,,,,
A01629,title not known,Ink on paper,,,"hand/hands raised, standing, woman, hat, bonnet",date not known
,,,,,,
A01630,title not known,"Ink, watercolour and graphite on paper",,,"carriage, figure, horse",date not known
,,,,,,
A01631,title not known,"Ink, graphite, watercolour and gouache on paper",,,"girl, head in hand/hands, reclining, sitting, man",date not known
,,,,,,
A01632,title not known,Ink and watercolour on paper,,,"back, man, walking, fisherman / fisherwoman, fishing net, spade",date not known
,,,,,,
A01633,title not known,Graphite on paper,,,"boy, girl, sitting",date not known
,,,,,,
A01634,title not known,"Graphite, ink and gouache on paper",,,"group, man, sitting, hat, cap",date not known
,,,,,,
A01635,title not known,Ink and graphite on paper,,,"baby, carrying, standing, woman",date not known
,,,,,,
A01636,title not known,Ink and watercolour on paper,,,"Christ, prayer, Italy, Rome - non-specific, Michelangelo, sculpture, cross, ""artists notes"", group, kneeling, man, woman, shrine, street",date not known
,,,,,,
A01637,title not known,Ink and watercolour on paper,,,"bucket, drawing water, fountain, street, standing, woman",date not known
,,,,,,
A01638,title not known,Ink on paper,,,"bundle, carrying, man, walking",date not known
,,,,,,
A01639,title not known,"Watercolour, graphite and ink on paper",,,"cloak, man, standing",date not known
,,,,,,
A01640,title not known,Watercolour and ink on paper,,,"cane, man, sitting",date not known
,,,,,,
A01641,title not known,Watercolour and ink on paper,,,"carrying, child, group, standing, woman, dress, shawl",date not known
,,,,,,
A01642,title not known,"Ink, graphite and gouache on paper",,,"child, kneeling, woman",date not known
,,,,,,
A01643,title not known,"Ink, watercolour and graphite on paper",,,"crawling, man",date not known
,,,,,,
A01644,title not known,Ink on paper,,,"basket, man, standing, walking",date not known
,,,,,,
A01645,title not known,Ink and watercolour on paper,,,"dog - non-specific, sitting, woman",date not known
,,,,,,
A01646,title not known,"Watercolour, ink and graphite on paper",,,"building - non-specific, cloak, man, standing",date not known
,,,,,,
A01647,title not known,Ink and graphite on paper,,,"back, carrying, child, kneeling, woman",date not known
,,,,,,
A01648,title not known,"Watercolour, ink and graphite on paper",,,"man, woman, standing, soldier",date not known
,,,,,,
A01649,title not known,Ink on paper,,,"basket, man, woman, walking, mule, pack animal, riding",date not known
,,,,,,
A01650,title not known,Watercolour and graphite on paper,,,"hat, robe, man, standing",date not known
,,,,,,
A01651,title not known,"Watercolour, graphite and gouache on paper",,,"boat, sailing, sea",date not known
,,,,,,
A01652,title not known,"Ink, graphite and watercolour on paper",,,"mule, riding, woman",date not known
,,,,,,
A01653,title not known,"Ink, graphite and watercolour on paper",,,"basket, tub, flower, plant, man, woman, market, trader",date not known
,,,,,,
A01654,title not known,"Ink, graphite and watercolour on paper",,,"building - non-specific, signage, window, talking, woman",date not known
,,,,,,
A01655,title not known,Watercolour and ink on paper,,,"apron, headdress, basket, standing, woman",date not known
,,,,,,
A01656,title not known,Ink on paper,,,"basket, carrying, walking, woman",date not known
,,,,,,
A01657,title not known,"Ink, graphite and watercolour on paper",,,"child, standing, woman",date not known
,,,,,,
A01658,title not known,Ink on paper,,,"basket, fishing net, fisherman / fisherwoman, group, walking, woman",date not known
,,,,,,
A01659,title not known,Ink and watercolour on paper,,,"sitting, woman, veil",date not known
,,,,,,
A01660,title not known,Ink and watercolour on paper,,,"back, carrying, standing, woman, basket",date not known
,,,,,,
A01661,title not known,Ink and graphite on paper,,,"arm/arms raised, standing, baby, girl, woman",date not known
,,,,,,
A01662,title not known,Watercolour and ink on paper,,,"boy, sitting, walking, woman",date not known
,,,,,,
A01663,title not known,Ink on paper,,,"child, sitting, woman",date not known
,,,,,,
A01664,title not known,"Ink, watercolour and gouache on paper",,,"jar, man, sitting",date not known
,,,,,,
A01665,title not known,Ink and graphite on paper,,,"carrying, child, woman, dance",date not known
,,,,,,
A01666,title not known,"Watercolour, ink, gouache and graphite on paper",,,"hat, pipe, man, sitting, smoking",date not known
,,,,,,
A01667,title not known,Ink and graphite on paper,,,"building - non-specific, hat, cap, uniform / kit, sword, man, standing, soldier",date not known
,,,,,,
A01668,title not known,Ink and graphite on paper,,,"basket, standing, woman",date not known
,,,,,,
A01669,title not known,Ink and graphite on paper,,,"basket, group, sitting, woman",date not known
,,,,,,
A01670,title not known,"Ink, watercolour and graphite on paper",,,"boat, sailing",date not known
,,,,,,
A01671,title not known,"Ink, graphite and watercolour on paper",,,"arms folded, standing, woman",date not known
,,,,,,
A01672,title not known,"Ink, watercolour and graphite on paper",,,"carriage, horse",date not known
,,,,,,
A01673,title not known,Ink and graphite on paper,,,"back, carrying, walking, woman, manger",date not known
,,,,,,
A01674,title not known,Ink and graphite on paper,,,"basket, jug, carrying, standing, woman",date not known
,,,,,,
A01675,title not known,"Ink, graphite and watercolour on paper",,,"basket, carrying, talking, woman",date not known
,,,,,,
A01676,title not known,Ink and graphite on paper,,,"arms folded, standing, woman, tub",date not known
,,,,,,
A01677,title not known,"Ink, graphite, watercolour and gouache on paper",,,"couple, embracing, talking, man, woman, standing, staff",date not known
,,,,,,
A01678,title not known,Ink and graphite on paper,,,"figure, horse, running, riding",date not known
,,,,,,
A01679,title not known,Ink and graphite on paper,,,"knitting, sitting, talking, woman",date not known
,,,,,,
A01680,title not known,Ink and graphite on paper,,,"basket, carrying, group, hand/hands on hip, standing, woman",date not known
,,,,,,
A01681,title not known,Ink and graphite on paper,,,"child, climbing, sitting, standing, woman, hat",date not known
,,,,,,
A01682,title not known,Ink and graphite on paper,,,"arm/arms raised, standing, child, woman",date not known
,,,,,,
A01683,title not known,"Ink, graphite, watercolour and gouache on paper",,,"apron, group, standing, woman",date not known
,,,,,,
A01684,title not known,Watercolour and ink on paper,,,"bundle, gun, rifle, carrying, child, kneeling, standing, man, woman, soldier, sweeping",date not known
,,,,,,
A01685,title not known,Ink and watercolour on paper,,,"bundle, cart, man, woman, sitting, standing, ox",date not known
,,,,,,
A01686,title not known,Ink on paper,,,"basket, carrying, standing, woman",date not known
,,,,,,
A01687,title not known,"Ink, watercolour and graphite on paper",,,"back, man, harness, whip, hat, horse, riding",date not known
,,,,,,
A01688,title not known,Ink and watercolour on paper,,,"boy, girl, carrying, standing, woman",date not known
,,,,,,
A01689,title not known,"Ink, watercolour and graphite on paper",,,"cart, feeding, horse",date not known
,,,,,,
A01690,title not known,Watercolour and ink on paper,,,"arm/arms raised, running, woman",date not known
,,,,,,
A01691,title not known,Graphite on paper,,,"hat, shawl, standing, woman",date not known
,,,,,,
A01692,title not known,"Ink, watercolour and graphite on paper",,,"armour, boat, gondola, riding, horse, man, soldier",date not known
,,,,,,
A01693,title not known,Ink and graphite on paper,,,"boat, sailing, ship, sailing, figure",date not known
,,,,,,
A01694,title not known,Ink and graphite on paper,,,"axe, saw, wood, basket, carpenter, kneeling, man, pulling, pushing",date not known
,,,,,,
A01695,title not known,Ink and watercolour on paper,,,"basket, sack, hat, bonnet, carrying, walking, woman",date not known
,,,,,,
A01696,title not known,Ink and graphite on paper,,,"carpenter, kneeling, man, pulling, pushing, saw",date not known
,,,,,,
A01697,title not known,"Ink, watercolour and graphite on paper",,,"contemplation, head in hand/hands, sitting, woman",date not known
,,,,,,
A01698,title not known,Watercolour on paper,,,"Italy, apron, hat, standing, woman",date not known
,,,,,,
A01699,title not known,"Ink, watercolour and graphite on paper",,,"hat, man, sitting, standing",date not known
,,,,,,
A01700,title not known,Watercolour and graphite on paper,,,"Italy, bundle, carrying, standing, woman",date not known
,,,,,,
A01701,title not known,"Graphite, watercolour, ink and gouache on paper",,,"baby, girl, carrying, standing, woman",date not known
,,,,,,
A01702,title not known,"Graphite, watercolour, ink and gouache on paper",,,"bending forward, sitting, man",date not known
,,,,,,
A01703,title not known,Ink and graphite on paper,,,"basket, bottle, carrying, man, woman, standing, walking",date not known
,,,,,,
A01704,title not known,"Graphite, watercolour and ink on paper",,,"baby, girl, carrying, man, woman, sitting, standing, hat",date not known
,,,,,,
A01705,title not known,Ink and watercolour on paper,,,"cart, horse",date not known
,,,,,,
A01706,title not known,Ink and watercolour on paper,,,"basket, tub, hat, stool, man, standing",date not known
,,,,,,
A01707,title not known,Ink on paper,,,"cauldron, hat, man, sitting",date not known
,,,,,,
A01708,title not known,"Watercolour, graphite and ink on paper",,,"comforting, embracing, girl, woman, death, gravestone / tomb, sculpture",date not known
,,,,,,
A01709,title not known,"Ink, watercolour and graphite on paper",,,"basket, bundle, girl, group, man, woman, sitting",date not known
,,,,,,
A01710,title not known,Ink and graphite on paper,,,"hat, standing, woman",date not known
